"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
229885,246950,400,0,26375,"2011-11-14",7,26375,26375,26550,TRUE,"Донецький обласний центр по нарахуванню та здійсненню соцвиплат Мінпраці та соцполітики України"
287846,336327,10358,NA,461200,"2012-04-06",7,461200,461200,468000,TRUE,"Управління господарсько-транспортного забезпечення Донецької облдержадміністрації"
289514,343520,129209,NA,286300.4,"2012-04-17",7,286300.4,286300.4,309890,TRUE,"Артемівська станція швидкої медичної допомоги Донецької області"
358655,394678,129209,168000,167250,"2012-08-13",7,167250,167250,168495,TRUE,"Артемівська станція швидкої медичної допомоги Донецької області"
372941,417051,5893,240000,239850,"2012-11-05",7,239850,239850,248050,TRUE,"Прокуратура Донецької області"
385935,423014,2652,168500,167000,"2012-12-03",7,167000,167000,168050,TRUE,"ДО ""Комбінат ""Новий"""
390100,444269,10358,592200,528240,"2013-01-15",7,528240,528240,538600,TRUE,"Управління господарсько-транспортного забезпечення Донецької облдержадміністрації"
387868,440424,5233,532178.6,522880.5,"2013-01-11",10,522880.5,523083.05,536420.8,TRUE,"Відділ освіти Мелітопольської районної державної адміністрації Запорізької області"
394205,440024,10188,152207,144171.9,"2013-01-10",8,144171.9,144171.9,144967.8,TRUE,"КЛПУ ""Міська лікарня №2"" м.Єнакієве Донецької області"
394593,455887,129209,758212,755517,"2013-02-01",7,755517,755517,765249,TRUE,"Артемівська станція швидкої медичної допомоги Донецької області"
395270,457340,16860,1281000,1287750,"2013-02-05",10,1287750,1287750,1303250,TRUE,"КУ ""Мелітопольська станція екстреної (швидкої) медичної допомоги"" Запорізької обласної ради"
400578,464345,78274,432180,439140,"2013-02-18",7,439140,439140,442860,TRUE,"Комунальна лікувально-профілактична установа Селидівська станція швидкої допомоги Донецької області"
393925,457095,20593,850000,761850,"2013-02-05",10,761850,761850,767044.5,TRUE,"Мелітопольська центральна районна лікарня"
397597,470088,118956,484000,460000,"2013-02-26",7,460000,460000,461600,TRUE,"КУ ""Центр первинної медико-санітарної допомоги №2 м.Єнакієве"" Донецької області"
405847,470052,6108,546138.6,534635.25,"2013-02-26",7,534635.25,534635.25,535966,TRUE,"Відділ освіти Артемівської райдержадміністрації Донецької області"
396608,465241,11028,178029,181991,"2013-02-18",7,181991,181991,183553,TRUE,"Комунальна лікувально-профілактична установа Селидівська центральна міська лікарня Донецької області"
407344,466237,10595,421000,396222,"2013-02-19",14,396222,396222,403914,TRUE,"Новопсковське районне територіальне медичне об’єднання"
395063,457308,182,528000,507840,"2013-02-05",7,507840,507840,508800,TRUE,"Виконавчий комітет Єнакієвської міської ради"
407542,471329,129441,370000,371520,"2013-02-26",7,371520,371520,375315,TRUE,"КМУ ""Центр первинної медико-санітарної допомоги"" м.Красноармійськ Донецької області"
409364,473995,27784,82150,79194,"2013-03-04",14,79194,79194,79828,TRUE,"Виконавчий комітет Свердловської міської ради Луганської області"
428208,481610,75854,133000,145080,"2013-03-19",7,145080,145080,146893.5,TRUE,"Орджонікідзевська райадміністрація Маріупольської міськради Донецької області"
418774,496551,296,901320,907200,"2013-04-30",7,907200,907200,919800,TRUE,"ПАТ ""Донбасенерго"""
433050,484982,157895,148500,148230,"2013-03-26",7,148230,148230,157275,TRUE,"Краснолиманський центр первинної медико-санітарної допомоги ім.М.І.Лядукіна Донецької області"
