"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
466900,541201,73442,4994350,4445113.2,"2013-12-31",15,4445113.2,4445113.2,4635486,TRUE,"ПАТ ""Львівобленерго"""
477459,568377,71097,10366626.06,10315309.8,"2014-02-17",1,10315309.8,10315389,12188560.8,TRUE,"ПАТ ""Укртрансгаз"" в особі філії ""Агрогаз"" "
513688,595287,1544,4815150,4808160,"2014-05-12",1,4808160,4808160,4812750,TRUE,"ПАТ ""Укртрансгаз"""
521491,601331,3097,605272,991458.9,"2014-06-18",12,991458.9,991458.9,1005800.7,TRUE,"ПАТ ""Укртрансгаз"" Філія ""Управління сервісного обслуговування та ремонту імпортної автотракторної спецтехніки ""СІАТ"""
515569,602329,63,778000,953400,"2014-06-24",1,953400,953400,979200,TRUE,"Служба автомобільних доріг у Київській області Держагентства автомобільних доріг України"
519606,601031,3671,3255478.9,3626051.84,"2014-06-16",1,3626051.84,3626051.84,3649878.35,TRUE,"ПАТ ""Укртрансгаз"" в особі філії ""Управління ""Укргазтехзв’язок"""
477682,595629,38657,5500000,9041620,"2014-05-15",17,9041620,9041620,9300620,TRUE,"ПАТ ""ЕК Одесаобленерго"""
531499,616417,1544,7222000,7208280,"2014-09-30",1,7208280,7208280,7250340,TRUE,"ПАТ ""Укртрансгаз"""
532371,609434,5904,298000,287820,"2014-08-08",4,287820,288900,287820,FALSE,"Управління державтоінспекції ГУ МВС України у Вінницькій області"
539736,622454,1252,399700,404965,"2014-11-11",22,404965,405253.57,413057.87,TRUE,"Харківський національний університет внутрішніх справ"
544895,634173,73442,8566424,7788352.8,"2014-12-30",15,7788352.8,7788432,7986081,TRUE,"ПАТ ""Львівобленерго"""
545400,634172,73442,2247624,2001110.4,"2014-12-30",15,2001110.4,2001150,2097333,TRUE,"ПАТ ""Львівобленерго"""
