"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
224006,246159,2463,NA,1779000,"2011-11-10",4,1779000,1779000,1785000,TRUE,"ДП ""Вінницький облавтодор"" ВАТ ""ДАК ""Автомобільні дороги України"""
224278,247045,4183,NA,1779000,"2011-11-14",8,1779000,1779000,1785000,TRUE,"ДП ""Житомирський облавтодор"" ВАТ ""ДАК ""Автомобільні дороги України"""
224424,249461,5263,NA,1779000,"2011-11-22",7,1779000,1779000,1785000,TRUE,"ДП ""Донецький облавтодор"" ВАТ ""ДАК ""Автомобільні дороги України"""
229717,254932,10104,NA,624800,"2011-12-12",7,624800,624800,635800,TRUE,"Курахівська міськрада Донецької області"
229701,255157,10104,NA,613500,"2011-12-12",7,613500,613500,624380,TRUE,"Курахівська міськрада Донецької області"
373098,416102,50604,850000,840000,"2012-11-02",7,840000,840000,845000,TRUE,"КП ""Маріупольське виробниче управління водопровідно-каналізаційного господарства"" Донецької області"
368521,412259,35375,1500000,1400000,"2012-10-15",8,1400000,1400000,1425000,TRUE,"КП ""Житомирводоканал"""
376555,424556,3881,1141000,1125240,"2012-12-07",22,1125240,1125240,1142670,TRUE,"ДП ""Харківський облавтодор"" ВАТ ""ДАК ""Автомобільні дороги України"""
382235,428506,79693,5e+05,5e+05,"2012-12-14",5,5e+05,5e+05,510000,TRUE,"Луцьке спеціальне комунальне автотранспортне підприємство ""Луцькспецкомунтранс"" Волинської області"
418589,487349,56911,1305000,1301000,"2013-04-02",24,1301000,1301000,1305000,TRUE,"Хмельницьке комунальне підприємство ""Спецкомунтранс"""
