"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
249346,294226,17078,NA,780984.54,"2012-02-14",19,780984.54,780984.54,795114,TRUE,"Рокитнівська центральна районна лікарня Рівненської області"
388681,443993,951,690887,678988,"2013-01-16",19,678988,678988,682772,TRUE,"ВІДДІЛ ОСВІТИ САРНЕНСЬКОЇ РАЙДЕРЖАДМІНІСТРАЦІЇ РІВНЕНСЬКОЇ ОБЛАСТІ"
410490,457932,5789,199000,205410,"2013-02-05",19,205410,205410,208550,TRUE,"Комунальний заклад ""Центр первинної медико-санітарної допомоги ""Ювілейний"""
414149,477622,3361,678500,660300,"2013-03-12",19,660300,660300,673450,TRUE,"Рівненський природний заповідник Держкомлісгоспу України"
426758,480648,3958,180000,175225,"2013-03-18",19,175225,176855,175225,FALSE,"Міська дитяча лікарня Рівненської міської ради"
417080,485754,26741,144000,126750,"2013-03-29",19,126750,123939.05,128989.4,TRUE,"КЗ ""Зарічненська центральна районна лікарня"" Рівненської області"
419030,490897,17078,378225,375811.6,"2013-04-12",19,375811.6,375811,379252,TRUE,"Рокитнівська центральна районна лікарня Рівненської області"
259678,310627,47412,NA,281604,"2012-03-02",19,281604,281985.57,284602.15,TRUE,"Радивилівська районна лікарня Рівненської області"
430431,490643,1908,222035,217113.2,"2013-04-12",19,217113.2,217133,219292,TRUE,"КЗ ""Володимирецька центральна районна лікарня"" Володимирецької райради Рівненської області"
190096,205301,47412,NA,202250,"2011-07-05",19,202250,202553.55,203058.7,TRUE,"Радивилівська районна лікарня Рівненської області"
474573,559337,925,475920,416160,"2014-02-05",24,416160,416160,427300,TRUE,"ДЗ ""Спеціалізована медико-санітарна частина №4 МОЗ України"""
521560,600231,68883,977990,919675.4,"2014-06-11",24,919675.4,921128.4,969258.6,TRUE,"Комунальне підприємство Нетішинської міськради ""Житлово-комунальне об’єднання"" Хмельницької області"
514470,591121,7970,3924200,3773127.5,"2014-04-22",19,3773127.5,3773127,3835346,TRUE,"Кузнецовське міське комунальне підприємство Рівненської області"
523160,604975,925,397800,345870,"2014-07-10",24,345870,345870,350400,TRUE,"ДЗ ""Спеціалізована медико-санітарна частина №4 МОЗ України"""
536021,619910,7428,209730,209730,"2014-10-27",19,209730,209730,239825.68,TRUE,"Відділ освіти Зарічненської районної державної адміністрації Рівненської області"
539198,619909,7970,1919900,1480258,"2014-10-27",19,1480258,1480258,1498845,TRUE,"Кузнецовське міське комунальне підприємство Рівненської області"
