"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
422505,490531,72,1e+06,973629.18,"2013-04-12",17,973629.18,973629.18,1022921.18,TRUE,"ДП ""Одеська залізниця"""
413278,488376,72,1e+06,974294.78,"2013-04-05",17,974294.78,974294.78,1023647.88,TRUE,"ДП ""Одеська залізниця"""
438813,505630,72,5e+05,487140.85,"2013-06-11",17,487140.85,487140.85,514049.62,TRUE,"ДП ""Одеська залізниця"""
428147,496328,72,5e+05,486938.86,"2013-04-30",17,486938.86,486938.86,513544.12,TRUE,"ДП ""Одеська залізниця"""
444207,511476,72,5e+05,487499.62,"2013-07-09",17,487499.62,487499.62,517085.67,TRUE,"ДП ""Одеська залізниця"""
449299,514779,72,5e+05,487494.22,"2013-08-06",17,487494.22,487494.22,517080.57,TRUE,"ДП ""Одеська залізниця"""
446318,513776,72,5e+05,487352.62,"2013-07-26",17,487352.62,487352.62,516890.77,TRUE,"ДП ""Одеська залізниця"""
450778,517792,72,5e+05,487494.22,"2013-08-23",17,487494.22,487494.22,517080.57,TRUE,"ДП ""Одеська залізниця"""
457983,526605,72,4e+05,394832.78,"2013-10-22",17,394832.78,394832.78,421277.67,TRUE,"ДП ""Одеська залізниця"""
455619,523233,72,5e+05,490054.62,"2013-10-01",17,490054.62,490054.62,520677.77,TRUE,"ДП ""Одеська залізниця"""
459980,538900,72,5e+05,499994.85,"2013-12-24",17,499994.85,499994.85,533193.43,TRUE,"ДП ""Одеська залізниця"""
459212,529650,72,5e+05,499986.28,"2013-11-08",17,499986.28,499986.28,531985.07,TRUE,"ДП ""Одеська залізниця"""
501789,596970,72,1e+06,999994.66,"2014-05-22",17,999994.66,999994.66,1067480.06,TRUE,"ДП ""Одеська залізниця"""
