"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","volume","winner.bid","loser_bid","winner","buyer_name"
377986,420899,5430,9e+05,931425,"2012-11-23",11,931425,931425,951075,TRUE,"УПРАВЛІННЯ Державтоінспекції  УМВС України В ІВАНО-ФРАНКІВСЬКІЙ ОБЛАСТІ "
388298,441189,3999,513280,531313,"2013-01-11",24,531313,531313,537391,TRUE,"Відділ освіти, молоді та спорту Летичівської райдержадміністрації Хмельницької області"
410606,460046,3762,198000,220082,"2013-02-11",11,220082,220082,223314.9,TRUE,"Відділ освіти Городенківської райдержадміністрації Івано-Франківської області"
401657,465501,72872,737097,706255.9,"2013-02-19",11,706255.9,706255.9,711050.53,TRUE,"Тлумацька центральна районна лікарня Івано-Франківської області"
405652,474963,1633,216000,215839.04,"2013-03-04",4,215839.04,215839.04,229694.79,TRUE,"Відділ освіти Бершадської райдержадміністрації Вінницької області"
405258,468958,7371,2871795,3091132.5,"2013-02-22",11,3091132.5,3091132.5,3117840.75,TRUE,"Коломийська центральна районна лікарня Івано-Франківської області"
402420,463131,9795,401704,385592.13,"2013-02-15",4,385592.13,385802.4,398221.95,TRUE,"Відділ освіти Оратівської райдержадміністрації Вінницької області"
412997,475566,64566,674931,754590,"2013-03-05",11,754590,754919.7,763416.04,TRUE,"Галицьке міжрайонне управління водного господарства Івано-Франківської області"
411896,475318,67160,535050,535050,"2013-03-06",11,535050,535050,537710,TRUE,"Комунальний заклад ""Галицька центральна районна лікарня"""
413260,478185,6231,217206,215580,"2013-03-12",11,215580,215699.1,218978.44,TRUE,"Відділ освіти Калуської райдержадміністрації Івано-Франківської області"
406841,472239,78158,277636,285835,"2013-03-01",15,285835,285835,287050.5,TRUE,"Ходорівська районна лікарня Жидачівського району Львівської області"
416158,480943,18009,480269,491746.4,"2013-03-18",15,491746.4,491746.4,497379.2,TRUE,"Відділ освіти Жидачівської райдержадміністрації Львівської області"
416164,480397,4479,1247360,1236930,"2013-03-15",11,1236930,1236930,1246276,TRUE,"Центральна районна лікарня Надвірнянського району Івано-Франківської області"
408740,484446,31162,5e+05,545300,"2013-03-26",11,545300,545300,548380,TRUE,"Городенківська центральна районна лікарня Івано-Франківської області"
427576,485903,3405,435137,468614.82,"2013-03-29",11,468614.82,468614.82,514627.32,TRUE,"Відділ освіти Косівської райдержадміністрації Івано-Франківської області"
406961,468796,5364,1080300,1035005,"2013-02-22",11,1035005,1035311.7499,1040571.0862,TRUE,"Комунальна організація (Установа, Заклад) ""Станція швидкої та невідкладної медичної допомоги"" Калуської міської ради Івано-Франківської області"
429044,482035,99231,180000,185440,"2013-03-19",4,185440,185440,204800,TRUE,"Оратівський районний Центр первинної медико-санітарної допомоги Вінницької області"
406768,472106,59136,197396.27,214808.6,"2013-03-01",15,214808.6,214808.6,215956.8,TRUE,"Жидачівська центральна районна лікарня Львівської області"
431033,490408,16016,3e+05,336048,"2013-04-12",11,336048,336048,338719.4,TRUE,"Обласна клінічна лікарня Департаменту охорони здоров’я Івано-Франківської облдержадміністрації"
