"purchase_id","contract_id","buyer_id","purchase_cost_uah","volume_uah","contract_date","region_id","code.x","winner.x","bid.x","seller_region_id.x","code.y","winner.y","bid.y","seller_region_id.y","volume.x","volume.y","winner","loser","winner.reg","loser.reg","win_volume","lose_volume","buyer_name","winner_name","winner_id","loser_name","loser_id"
389290,434286,1011,771440,912844,"2013-01-02",7,"01975442",FALSE,928593.1,14,"01976625",TRUE,912844,7,0,912844,"01976625","01975442",7,14,912844,928593.1,"Комунальна лікувально-профілактична установа ""Донецьке обласне клінічне територіальне медичне об’єднання""","Донецьке КП ""Фармація""",2024,"КП Луганська обласна ""Фармація""",2009
389301,434290,1011,1340000,1573695.75,"2013-01-02",7,"01975442",FALSE,1597252.85,14,"01976625",TRUE,1573695.75,7,0,1573695.75,"01976625","01975442",7,14,1573695.75,1597252.85,"Комунальна лікувально-профілактична установа ""Донецьке обласне клінічне територіальне медичне об’єднання""","Донецьке КП ""Фармація""",2024,"КП Луганська обласна ""Фармація""",2009
392735,434646,2702,6e+05,594525.7,"2013-01-02",14,"01975442",TRUE,594525.7,14,"01976625",FALSE,598308.42,7,594525.7,0,"01975442","01976625",14,7,594525.7,598308.42,"Луганська обласна клінічна лікарня","КП Луганська обласна ""Фармація""",2009,"Донецьке КП ""Фармація""",2024
399147,446649,2702,1200000,1198890.33,"2013-01-21",14,"01975442",TRUE,1198890.33,14,"01976625",FALSE,1199395.51,7,1198890.33,0,"01975442","01976625",14,7,1198890.33,1199395.51,"Луганська обласна клінічна лікарня","КП Луганська обласна ""Фармація""",2009,"Донецьке КП ""Фармація""",2024
402941,446645,2702,479504,478696.3,"2013-01-21",14,"01975442",TRUE,478696.3,14,"01976625",FALSE,478713.22,7,478696.3,0,"01975442","01976625",14,7,478696.3,478713.22,"Луганська обласна клінічна лікарня","КП Луганська обласна ""Фармація""",2009,"Донецьке КП ""Фармація""",2024
399170,446654,2702,5e+05,473891.34,"2013-01-21",14,"01975442",TRUE,473891.34,14,"01976625",FALSE,499733.96,7,473891.34,0,"01975442","01976625",14,7,473891.34,499733.96,"Луганська обласна клінічна лікарня","КП Луганська обласна ""Фармація""",2009,"Донецьке КП ""Фармація""",2024
458914,522301,2702,1400000,1395460.26,"2013-09-24",14,"01975442",TRUE,1395460.26,14,"01976625",FALSE,1396483,7,1395460.26,0,"01975442","01976625",14,7,1395460.26,1396483,"Луганська обласна клінічна лікарня","КП Луганська обласна ""Фармація""",2009,"Донецьке КП ""Фармація""",2024
458500,522305,2702,3e+05,291916.34,"2013-09-24",14,"01975442",TRUE,291916.34,14,"01976625",FALSE,297387.23,7,291916.34,0,"01975442","01976625",14,7,291916.34,297387.23,"Луганська обласна клінічна лікарня","КП Луганська обласна ""Фармація""",2009,"Донецьке КП ""Фармація""",2024
490189,556809,1011,1125917.8,1125917.8,"2014-02-03",7,"01975442",FALSE,1137177,14,"01976625",TRUE,1125917.8,7,0,1125917.8,"01976625","01975442",7,14,1125917.8,1137177,"Комунальна лікувально-профілактична установа ""Донецьке обласне клінічне територіальне медичне об’єднання""","Донецьке КП ""Фармація""",2024,"КП Луганська обласна ""Фармація""",2009
490194,556806,1011,1929540.2,1929540.2,"2014-02-03",7,"01975442",FALSE,2136427.4,14,"01976625",TRUE,1929540.2,7,0,1929540.2,"01976625","01975442",7,14,1929540.2,2136427.4,"Комунальна лікувально-профілактична установа ""Донецьке обласне клінічне територіальне медичне об’єднання""","Донецьке КП ""Фармація""",2024,"КП Луганська обласна ""Фармація""",2009
